START | 2025-05-25 13:59:05
STOP | 2025-05-25 13:59:11
LEVEL_0 | 2025-05-25 13:59:11
START | 2025-05-25 13:59:23
DIRECTION_FORWARD | 2025-05-25 13:59:25
LEVEL_2 | 2025-05-25 13:59:29
STOP | 2025-05-25 13:59:40
LEVEL_0 | 2025-05-25 13:59:40
START | 2025-05-25 13:59:45
DIRECTION_FORWARD | 2025-05-25 13:59:48
LEVEL_2 | 2025-05-25 13:59:49
LEVEL_4 | 2025-05-25 13:59:53
LEVEL_6 | 2025-05-25 13:59:56
STOP | 2025-05-25 14:00:27
LEVEL_0 | 2025-05-25 14:00:27
START | 2025-05-25 14:01:03
DIRECTION_FORWARD | 2025-05-25 14:01:06
LEVEL_2 | 2025-05-25 14:01:07
LEVEL_6 | 2025-05-25 14:01:27
STOP | 2025-05-25 14:01:33
LEVEL_0 | 2025-05-25 14:01:33
START | 2025-05-25 14:03:48
STOP | 2025-05-25 14:03:48
LEVEL_0 | 2025-05-25 14:03:48
STOP | 2025-05-25 14:04:35
LEVEL_0 | 2025-05-25 14:04:35
START | 2025-05-25 14:05:16
DIRECTION_REVERSE | 2025-05-25 14:05:17
LEVEL_2 | 2025-05-25 14:05:19
STOP | 2025-05-25 14:05:22
LEVEL_0 | 2025-05-25 14:05:22
START | 2025-05-25 14:05:28
DIRECTION_FORWARD | 2025-05-25 14:05:32
LEVEL_2 | 2025-05-25 14:05:35
LEVEL_4 | 2025-05-25 14:05:38
LEVEL_6 | 2025-05-25 14:05:46
STOP | 2025-05-25 14:06:57
LEVEL_0 | 2025-05-25 14:06:57
START | 2025-05-25 14:09:48
DIRECTION_FORWARD | 2025-05-25 14:09:53
LEVEL_6 | 2025-05-25 14:09:57
STOP | 2025-05-25 14:11:07
LEVEL_0 | 2025-05-25 14:11:08
START | 2025-05-25 15:59:32
STOP | 2025-05-25 15:59:39
LEVEL_0 | 2025-05-25 15:59:39
START | 2025-05-25 16:00:33
DIRECTION_FORWARD | 2025-05-25 16:00:35
LEVEL_2 | 2025-05-25 16:00:36
LEVEL_6 | 2025-05-25 16:00:40
STOP | 2025-05-25 16:00:57
LEVEL_0 | 2025-05-25 16:00:57
START | 2025-05-25 16:03:12
DIRECTION_FORWARD | 2025-05-25 16:03:16
LEVEL_2 | 2025-05-25 16:03:18
LEVEL_6 | 2025-05-25 16:03:28
STOP | 2025-05-25 16:04:24
LEVEL_0 | 2025-05-25 16:04:24
START | 2025-05-25 16:17:23
STOP | 2025-05-25 16:19:07
LEVEL_0 | 2025-05-25 16:19:07
START | 2025-05-25 16:19:09
STOP | 2025-05-25 16:19:29
LEVEL_0 | 2025-05-25 16:19:29
